MAS SECTION LED DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,RG,,,,,,HG,,,,,,HHG,,,,,,DG,,,,,,SHUNT,,,,,,ROUTE,,,,,,AMARKER,,,,,,CALLINGON,,,,,,,,,,,,,,,,,,,,
SNO,SECTION,STATION/AUTOSECTION/LC/IBS,ROUTE,"SIGNALNO/
SHUNTNO",HOME/STARTER/LSS/CO/IND SH/SUB SH/AUTO/GATE/IB/REP,LHS/RHS,SMMS Asset Created,"Asset Approved by
In Charge SSE",,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,,2Aspect,3Aspect,4Aspect,Shunt,Ind,OnPost,CO,Route,Home,Starter,IB,Gatesig,Auto,Retro Reflective Signal No.
14,MAS,MAS,A,SH34,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
15,MAS,MAS,A,7,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,5049,6/1/2019,9/30/2021,1,RTV,INTEGRATED,3160,10/1/2020,9/30/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,TRUE,,,,,,7
16,MAS,MAS,A,SH35,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,5/18/2016,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
17,MAS,MAS,A,8,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4996,6/1/2019,1/10/2021,1,RTV,INTEGRATED,3132,11/1/2020,1/10/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,TRUE,,,,,,8
18,MAS,MAS,A,SH36,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
19,MAS,MAS,A,9,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,5044,6/1/2019,4/27/2021,1,GAEC,INTEGRATED,38838,6/1/2019,4/24/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,TRUE,,,,,,9
20,MAS,MAS,A,SH37,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
21,MAS,MAS,A,10,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4995,6/1/2019,4/27/2021,1,RTV,INTEGRATED,3109,11/1/2020,4/27/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,TRUE,,,,,,10
22,MAS,MAS,A,SH38,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
23,MAS,MAS,A,11,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4977,5/1/2019,4/27/2021,1,GAEC,INTEGRATED,38839,6/1/2019,4/27/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,TRUE,,,,,,11
